year,population_size,estimate_type,rivest_adjustment,top_level_source,top_level_source_link,mid_level_source,mid_level_source_link,original_source
2009,46510,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,,N/A,N/A
2009,56417,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2009,56342,photocensus,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2010,51675,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,,N/A,N/A
2010,62788,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2011,64397,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2012,68588,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2013,71869,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2014,81749,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2015,75751,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2016,74652,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2017,73009,photocensus,N,"Alaska Department of Fish and Game, 2019",https://www.doi.gov/sites/doi.gov/files/fortymile-mgmt-plan-2019-2023-final.pdf,N/A,N/A,N/A
2017,83166,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2017,83659,photocensus,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2018,78750,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2019,67677,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2020,57843,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2022,38000,photocensus,Y,Personal communication,N/A,N/A,N/A,N/A
