LC,caribou_density,season,pft,count,mean,variance
Open shrubs,Medium,winter,Evergreen shrubs,68344,0.005242718,0.009462833
Open shrubs,Medium,winter,Forbs,68344,0.000613176,0.000310958
Open shrubs,Medium,winter,Alder,68344,0.01344591,0.002372256
Open shrubs,Medium,winter,Birch,68344,0.05129962,0.02596645
Open shrubs,Medium,winter,Graminoids,68344,-0.003069522,0.010361313
Open shrubs,Medium,winter,Willow,68344,-0.001507739,0.003798246
Open shrubs,Medium,winter,Lichens,68344,-0.082199356,0.028065195
Herbaceous,Medium,winter,Deciduous shrubs,765820,0.115930694,0.040912353
Herbaceous,Medium,winter,Evergreen shrubs,765820,-0.007310745,0.011607782
Herbaceous,Medium,winter,Forbs,765820,0.000685083,0.001119496
Herbaceous,Medium,winter,Alder,765820,0.024457178,0.00767802
Herbaceous,Medium,winter,Birch,765820,0.065173162,0.029580192
Herbaceous,Medium,winter,Graminoids,765820,-0.038935091,0.022237819
Herbaceous,Medium,winter,Willow,765820,-0.004276385,0.00678314
Herbaceous,Medium,winter,Lichens,765820,-0.071647715,0.026144221
Tussock tundra,Medium,winter,Deciduous shrubs,736385,0.12849153,0.039719835
Tussock tundra,Medium,winter,Evergreen shrubs,736385,-0.00351033,0.009933655
Tussock tundra,Medium,winter,Forbs,736385,0.001048172,0.000225296
Tussock tundra,Medium,winter,Alder,736385,0.020798943,0.00436984
Tussock tundra,Medium,winter,Birch,736385,0.074035587,0.038397105
Tussock tundra,Medium,winter,Graminoids,736385,-0.079261998,0.022747812
Tussock tundra,Medium,winter,Willow,736385,-0.006276358,0.005904402
Tussock tundra,Medium,winter,Lichens,736385,-0.064251441,0.016791667
Sparsely vegetated,Medium,winter,Deciduous shrubs,1174182,0.030976475,0.013169592
Sparsely vegetated,Medium,winter,Evergreen shrubs,1174182,-0.010575333,0.009619559
Sparsely vegetated,Medium,winter,Forbs,1174182,0.002135989,0.001619545
Sparsely vegetated,Medium,winter,Alder,1174182,0.001065649,0.000207799
Sparsely vegetated,Medium,winter,Birch,1174182,0.020842578,0.00750181
Sparsely vegetated,Medium,winter,Graminoids,1174182,0.008399469,0.005623534
Sparsely vegetated,Medium,winter,Willow,1174182,0.005701462,0.00215149
Sparsely vegetated,Medium,winter,Lichens,1174182,-0.019398251,0.017502939
Fen,Medium,winter,Deciduous shrubs,1153652,0.119137914,0.035368471
Fen,Medium,winter,Evergreen shrubs,1153652,-0.004254675,0.00653111
Fen,Medium,winter,Forbs,1153652,0.001647113,0.000379758
Fen,Medium,winter,Alder,1153652,0.035689602,0.004430813
Fen,Medium,winter,Birch,1153652,0.054909578,0.042384105
Fen,Medium,winter,Graminoids,1153652,-0.058038067,0.013897442
Fen,Medium,winter,Willow,1153652,-0.00676498,0.003913387
Fen,Medium,winter,Lichens,1153652,-0.050791269,0.009206179
Bog,Medium,winter,Deciduous shrubs,1184,0.007330152,0.005112234
Bog,Medium,winter,Evergreen shrubs,1184,-0.001546537,0.002268669
Bog,Medium,winter,Forbs,1184,-0.009238936,0.001234924
Bog,Medium,winter,Alder,1184,0.001191554,0.000242949
Bog,Medium,winter,Birch,1184,0.000912331,0.002866556
Bog,Medium,winter,Graminoids,1184,-0.003148395,0.00358527
Bog,Medium,winter,Willow,1184,-0.000145017,9.36418E-06
Bog,Medium,winter,Lichens,1184,-0.028950422,0.003125435
Shallows/littoral,Medium,winter,Deciduous shrubs,3,0,0
Shallows/littoral,Medium,winter,Evergreen shrubs,3,0.000833334,0.001235882
Shallows/littoral,Medium,winter,Forbs,3,-0.018433334,0.000679576
Shallows/littoral,Medium,winter,Alder,3,0,0
Shallows/littoral,Medium,winter,Birch,3,0,0
Shallows/littoral,Medium,winter,Graminoids,3,0,0
Shallows/littoral,Medium,winter,Willow,3,0,0
Shallows/littoral,Medium,winter,Lichens,3,0.018533333,0.000686969
Barren,Medium,winter,Deciduous shrubs,588842,0.012337124,0.005665292
Barren,Medium,winter,Evergreen shrubs,588842,-0.002974555,0.005024395
Barren,Medium,winter,Forbs,588842,-0.000623229,0.00076144
Barren,Medium,winter,Alder,588842,0.000740401,0.000157774
Barren,Medium,winter,Birch,588842,0.008858485,0.002830451
Barren,Medium,winter,Graminoids,588842,0.008641815,0.003983134
