LC,allDecShrub_count_0,allDecShrub_count_1,allDecShrub_count_2,allDecShrub_count_neg1,allDecShrub_count_neg2,allEvShrub_count_0,allEvShrub_count_1,allEvShrub_count_2,allEvShrub_count_neg1,allEvShrub_count_neg2,allForb_count_0,allForb_count_1,allForb_count_2,allForb_count_neg1,allForb_count_neg2,alnshr_count_0,alnshr_count_1,alnshr_count_2,alnshr_count_neg1,alnshr_count_neg2,betshr_count_0,betshr_count_1,betshr_count_2,betshr_count_neg1,betshr_count_neg2,caribou_density,graminoid_count_0,graminoid_count_1,graminoid_count_2,graminoid_count_neg1,graminoid_count_neg2,salshr_count_0,salshr_count_1,salshr_count_2,salshr_count_neg1,salshr_count_neg2,season,tmlichen_count_0,tmlichen_count_1,tmlichen_count_2,tmlichen_count_neg1,tmlichen_count_neg2
LC14,155964.9255,34509,14250.84706,13225,1729,81443.92549,81469.84706,5363,50707,695,163907.7725,19382,334,33632,2423,210847.7725,6261,899,1628,43,147166.7725,44414,6673,20547,878,2,141564.9255,46168,4717,26391.84706,837,161869.9255,24332.84706,552,30354,2570,precalving,69193,82300.92549,6141,60301.84706,1742
LC15,145,,45,,1,147,12,32,,,104,29,5,21,32,133,31,5,16,6,169,5,17,,,2,86,12,88,4,1,48,24,12,67,40,precalving,158,,32,1,
LC1,33060,66516,8581,10551,1505,52812,25553,521,39806,1521,112055,5291,44,2751,72,31792,77169,4861,6376,15,59105,33984,3360,21963,1801,3,114760,2472,92,2801,88,61140,26626,133,32002,312,precalving,28996,9290,560,73583,7784
LC2,,2,,,,,,,2,,2,,,,,,2,,,,,,,2,,3,,,,,2,1,1,,,,precalving,,,,2,
LC3,31,180,5,35,,88,82,1,80,,191,27,,32,1,60,138,34,18,1,69,112,11,56,3,3,160,23,,67,1,76,50,,124,1,precalving,102,20,2,121,6
LC4,189072,809045,16652,107573,3556,389923,356162,812,377891,1110,1043885,56750,170,24898,195,337824,715537,23526,48962,49,263951,462787,36828,346406,15926,3,713991,106420,3187,291876,10424,471052,339937,848,313253,808,precalving,189565,66185,1525,810421,58202
LC5,88231,452878,10785,140099,1663,148272,265697,1630,276929,1128,621058,50289,304,21869,136,323941,312130,25970,31309,306,95063,337783,32595,215505,12710,3,286517,77973,1829,310041,17296,239166,234401,3113,214181,2795,precalving,176562,61803,893,423348,31050
LC6,8624,45470,897,19303,485,19492,31692,572,22600,423,61690,8980,46,4036,27,29966,32587,7475,4679,72,9473,35312,3460,24537,1997,3,22962,6919,220,42162,2516,15134,21564,143,37565,373,precalving,31830,6057,160,34933,1799
LC7,2185,10686,257,2245,20,3281,6416,5,5678,13,14420,730,1,241,1,11096,3492,413,391,1,2444,7784,338,4738,89,3,5741,3488,50,5900,214,5952,6020,186,3150,85,precalving,2152,1053,7,10593,1588
LC8,46621,285202,9789,56585,531,70471,175985,1849,149484,939,286420,68923,530,42491,364,274347,70691,39719,13039,932,60545,205330,21603,108466,2784,3,86734,82394,2838,213715,13047,106313,133597,1839,154151,2828,precalving,85251,56181,1645,217537,38114
LC9,30081,254703,6941,40371,93,59134,160215,590,111639,611,304557,21713,20,5888,11,203932,95209,23826,8825,397,37543,183967,14739,94662,1278,3,61398,40343,377,216086,13985,101641,90910,3152,130215,6271,precalving,69490,28667,197,209722,24113
